station,color_code,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7,2020-8,2020-9,2020-10
市政府,BL,1638145,1586447,1513485,1629880,1646437,1754760,1598424,1542141,1603132,1536585,1611767,1584499,1652253,1699893,1475279,1721296,1664446,1977577,1615959,1672546,1649212,1634172,1629644,1673854,1748641,1768960,1647226,1785870,1731148,1962659,1700513,1648434,1678032,1617151,1685410,1678026,1751339,1786225,1668700,1821725,1785428,1953967,1824301,1779449,1711622,1671012,1723926,1740424,1836360,1826660,1710281,1878241,1829000,2017398,1764475,1550977,1389333,1186044,1403567,1546575,1704345,1879487,1845882,1942489
永春,BL,477169,481314,506573,517633,531668,546559,533867,477271,554605,509053,526420,496791,489883,496441,476798,520792,534530,543901,511868,503270,543090,512513,520836,519965,500281,498043,516248,502936,542552,561159,542771,489035,548575,508880,534667,517985,508121,513772,532138,549571,559388,579641,560632,490033,555037,532474,554756,535752,526370,513711,544788,546917,575740,592074,509759,466980,484318,428594,484645,487806,505656,552479,583228,576202
後山埤,BL,452100,436932,449885,457605,464589,478168,463651,441721,470863,450467,459486,436113,444793,442615,413114,451967,471929,488692,449147,453875,466841,453172,449400,445983,441146,438898,434674,428583,456559,475646,452396,431969,463472,436508,454994,444134,445226,447277,439429,457169,465271,483987,470440,431503,465821,458129,460316,452434,459573,450945,444651,452780,476392,487927,437001,396430,375524,333707,384018,397913,424442,467530,465258,471451
昆陽,BL,382881,381430,383541,391951,405992,410268,391712,347125,410720,382533,394994,377115,372190,380345,345821,381705,391254,404126,362396,365928,393067,371372,377577,380756,373614,376448,375049,356811,388473,400914,376966,334932,392703,357833,380356,375428,377530,381841,376009,388945,406061,415441,391063,334757,385948,372684,383739,376649,387739,371583,379043,384182,407037,419956,350016,346175,341181,297467,336031,348478,372178,408242,427271,420828
南港,BL,283871,287472,296580,301215,315530,325800,316796,299658,337643,314409,327121,323076,387480,417229,396276,425583,429843,445707,415085,427270,439713,439388,434142,441602,443415,451060,463409,456900,466178,482647,470171,449118,477387,465972,469434,470722,480796,490337,481954,491858,518866,527873,501364,484454,514272,505211,503271,520383,531909,523316,529291,542072,559402,595082,549864,452771,421062,364611,427687,469005,512373,571113,579616,621885
象山,R,236075,231061,242266,254779,265225,268653,256384,251016,260348,260354,262479,246627,251526,262927,237221,265190,279803,303929,276213,279943,279998,281853,277177,264270,282797,281473,272807,270494,284121,309109,291787,267368,312384,294094,301801,290438,313772,322464,315931,346163,349071,362305,349596,321103,345820,336093,349516,330561,337470,332033,336458,371291,376846,388992,355625,328570,301033,246835,288633,303619,326804,362141,368191,367624
台北101/世貿,R,826200,861178,770811,787356,854404,908482,785253,851833,855142,780025,912802,791943,867372,961421,793961,830343,882575,1148543,866849,918239,860649,865607,896867,819498,937490,972739,843832,854376,825036,1046404,962734,874572,886602,827650,916566,828245,916299,972962,848457,880273,863737,968913,1119068,1047546,985435,907740,998431,886095,1025663,1057157,916253,981639,934326,1144628,868481,689308,562110,444878,545551,649350,800911,899490,847404,832102
信義安和,R,419268,419841,415294,425472,433193,454946,448864,409362,467084,436687,453008,436216,446952,460862,409809,451906,462453,485598,448609,457878,483189,439554,463022,464055,473087,475358,456206,440872,471599,504601,478931,442775,493336,459541,484307,483296,490926,504000,479686,499686,503324,545211,532410,458291,513021,500973,511530,504924,522012,508160,504179,512082,529201,559364,484121,464055,434504,373019,431538,457265,489102,533618,537081,523885
大安森林公園,R,211711,192750,198087,214964,219422,216372,203932,206290,221437,220267,221314,201299,209784,239345,209190,227084,231814,243563,225204,213879,267453,254192,237181,219630,231284,229497,221625,223399,236759,246225,232562,225087,261391,258765,250126,247739,240758,229022,220636,257598,244531,254399,252978,230338,250940,255122,250558,242668,240405,230629,228308,260840,258967,268558,234361,198164,197434,169344,198668,205419,218195,245451,242145,259694
北門,G,167262,173816,180195,182583,186946,195220,202036,204808,213754,202094,209598,199247,201968,224246,191288,228555,222071,234232,254801,292079,295938,269288,273147,266512,269567,310166,274986,283792,286122,310450,305441,342413,340065,300681,313980,306287,311499,340718,312166,336152,342100,353002,381130,358674,352038,341495,356411,353832,367848,399878,362110,385136,390139,418822,417888,322025,266379,221170,258677,281057,310435,379981,331995,337809
